# MLB 2027 schedule - all clubs, all game types
# source: https://statsapi.mlb.com/api/v1/schedule?sportId=1&startDate=2027-01-01&endDate=2027-12-31&gameType=R,E,S,D,L,F,W,A
# retrieved_utc: 2026-09-24T17:54:16Z
# raw_sha256: 47400a178ff91701f9a79c369a6f757807a4b94eb128d470e0185c49e10806e6
# games: 2900 (columns: date_local|start_utc|start_pt|start_et|time_tbd|game_type|away|home|away_id|home_id|venue|status|game_pk)
# time_tbd=true means the league has not published a first pitch; date_local is still official.
2027-02-27||TBD|TBD|true|S|Pittsburgh Pirates|Tampa Bay Rays|134|139|Charlotte Sports Park|Scheduled|868515
2027-02-27||TBD|TBD|true|S|San Diego Padres|Cleveland Guardians|135|114|Goodyear Ballpark|Scheduled|868278
2027-02-27||TBD|TBD|true|S|San Francisco Giants|Kansas City Royals|137|118|Surprise Stadium|Scheduled|868277
2027-02-27||TBD|TBD|true|S|St. Louis Cardinals|New York Mets|138|121|Clover Park|Scheduled|868504
2027-02-27||TBD|TBD|true|S|Texas Rangers|Arizona Diamondbacks|140|109|Salt River Fields at Talking Stick|Scheduled|868276
2027-02-27||TBD|TBD|true|S|Washington Nationals|Houston Astros|120|117|CACTI Park of the Palm Beaches|Scheduled|868506
2027-02-28||TBD|TBD|true|S|Arizona Diamondbacks|Chicago White Sox|109|145|Camelback Ranch|Scheduled|868274
2027-02-28||TBD|TBD|true|S|Baltimore Orioles|Minnesota Twins|110|142|Lee Health Sports Complex|Scheduled|868511
2027-02-28||TBD|TBD|true|S|Boston Red Sox|Detroit Tigers|111|116|Publix Field at Joker Marchant Stadium|Scheduled|868512
2027-02-28||TBD|TBD|true|S|Chicago Cubs|Texas Rangers|112|140|Surprise Stadium|Scheduled|868267
2027-02-28||TBD|TBD|true|S|Cincinnati Reds|San Francisco Giants|113|137|Scottsdale Stadium|Scheduled|868266
2027-02-28||TBD|TBD|true|S|Houston Astros|New York Mets|117|121|Clover Park|Scheduled|868492
2027-02-28||TBD|TBD|true|S|Kansas City Royals|Chicago Cubs|118|112|Sloan Park|Scheduled|868265
2027-02-28||TBD|TBD|true|S|Los Angeles Angels|San Diego Padres|108|135|Peoria Stadium|Scheduled|868275
2027-02-28||TBD|TBD|true|S|Los Angeles Dodgers|Colorado Rockies|119|115|Salt River Fields at Talking Stick|Scheduled|868264
2027-02-28||TBD|TBD|true|S|Miami Marlins|Washington Nationals|146|120|CACTI Park of the Palm Beaches|Scheduled|868490
2027-02-28||TBD|TBD|true|S|Milwaukee Brewers|Cleveland Guardians|158|114|Goodyear Ballpark|Scheduled|868262
2027-02-28||TBD|TBD|true|S|Philadelphia Phillies|Pittsburgh Pirates|143|134|LECOM Park|Scheduled|868494
2027-02-28||TBD|TBD|true|S|Seattle Mariners|Athletics|136|133|Hohokam Stadium|Scheduled|868263
2027-02-28||TBD|TBD|true|S|Tampa Bay Rays|New York Yankees|139|147|George M. Steinbrenner Field|Scheduled|868493
2027-02-28||TBD|TBD|true|S|Toronto Blue Jays|Atlanta Braves|141|144|CoolToday Park|Scheduled|868513
2027-02-28||TBD|TBD|true|S|Washington Nationals|St. Louis Cardinals|120|138|Roger Dean Chevrolet Stadium|Scheduled|868502
2027-03-01||TBD|TBD|true|S|Athletics|San Diego Padres|133|135|Peoria Stadium|Scheduled|868270
2027-03-01||TBD|TBD|true|S|Chicago Cubs|Los Angeles Angels|112|108|Tempe Diablo Stadium|Scheduled|868273
2027-03-01||TBD|TBD|true|S|Chicago White Sox|Cincinnati Reds|145|113|Goodyear Ballpark|Scheduled|868268
2027-03-01||TBD|TBD|true|S|Cleveland Guardians|Colorado Rockies|114|115|Salt River Fields at Talking Stick|Scheduled|868272
2027-03-01||TBD|TBD|true|S|Houston Astros|Washington Nationals|117|120|CACTI Park of the Palm Beaches|Scheduled|868497
2027-03-01||TBD|TBD|true|S|Los Angeles Dodgers|Kansas City Royals|119|118|Surprise Stadium|Scheduled|868271
2027-03-01||TBD|TBD|true|S|Minnesota Twins|Tampa Bay Rays|142|139|Charlotte Sports Park|Scheduled|868499
2027-03-01||TBD|TBD|true|S|Philadelphia Phillies|Baltimore Orioles|143|110|Ed Smith Stadium|Scheduled|868491
2027-03-01||TBD|TBD|true|S|Pittsburgh Pirates|Toronto Blue Jays|134|141|TD Ballpark|Scheduled|868498
